id;image;image_content_type;image_code;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;../fake-data/blob/hipster.png;image/png;Money Market Account National;2019-12-03;2019-12-03T16:55:33;25281;2019-12-03;2019-12-04T03:30:51;18161
2;../fake-data/blob/hipster.png;image/png;harness;2019-12-03;2019-12-03T10:02:23;80669;2019-12-04;2019-12-03T10:23:32;22048
3;../fake-data/blob/hipster.png;image/png;index Montenegro Tuna;2019-12-04;2019-12-04T08:08:44;41446;2019-12-03;2019-12-03T15:56:12;70932
4;../fake-data/blob/hipster.png;image/png;Ball;2019-12-03;2019-12-03T21:36:23;58377;2019-12-04;2019-12-03T11:10:32;62843
5;../fake-data/blob/hipster.png;image/png;Bedfordshire;2019-12-04;2019-12-03T19:35:29;94920;2019-12-04;2019-12-03T18:51:25;71442
6;../fake-data/blob/hipster.png;image/png;quantify;2019-12-04;2019-12-03T15:17:28;51385;2019-12-03;2019-12-03T21:48:55;17208
7;../fake-data/blob/hipster.png;image/png;Representative Stream;2019-12-04;2019-12-03T17:17:44;18019;2019-12-03;2019-12-04T07:40:15;46171
8;../fake-data/blob/hipster.png;image/png;Direct Pula bus;2019-12-03;2019-12-04T01:45:29;27407;2019-12-04;2019-12-03T14:39:32;5189
9;../fake-data/blob/hipster.png;image/png;Plastic;2019-12-04;2019-12-04T01:58:26;66514;2019-12-03;2019-12-04T06:15:10;85653
10;../fake-data/blob/hipster.png;image/png;Lilangeni;2019-12-03;2019-12-03T17:55:24;56207;2019-12-03;2019-12-03T11:17:55;54930
